date_day,tot
2020-01-01,48
2020-01-02,89
2020-01-03,67
2020-01-04,117
2020-01-05,122
2020-01-06,161
2020-01-07,200
2020-01-08,130
2020-01-09,126
2020-01-10,78
2020-01-11,151
2020-01-12,120
2020-01-13,158
2020-01-14,167
2020-01-15,149
2020-01-16,139
2020-01-17,122
2020-01-18,68
2020-01-19,161
2020-01-20,166
2020-01-21,168
2020-01-22,175
2020-01-23,127
2020-01-24,153
2020-01-25,240
2020-01-26,167
2020-01-27,186
2020-01-28,131
2020-01-29,110
2020-01-30,165
2020-01-31,102
2020-02-01,108
2020-02-02,205
2020-02-03,151
2020-02-04,222
2020-02-05,225
2020-02-06,216
2020-02-07,154
2020-02-08,186
2020-02-09,243
2020-02-10,299
2020-02-11,233
2020-02-12,216
2020-02-13,207
2020-02-14,113
2020-02-15,154
2020-02-16,245
2020-02-17,203
2020-02-18,210
2020-02-19,141
2020-02-20,148
2020-02-21,138
2020-02-22,227
2020-02-23,227
2020-02-24,240
2020-02-25,214
2020-02-26,102
2020-02-27,287
2020-02-28,144
2020-02-29,177
2020-03-01,144
2020-03-02,112
2020-03-03,115
2020-03-04,55
2020-03-05,79
2020-03-06,83
2020-03-07,108
2020-03-08,82
2020-03-09,167
2020-03-10,162
2020-03-11,100
2020-03-12,111
2020-03-13,115
2020-03-14,167
2020-03-15,88
2020-03-16,197
2020-03-17,139
2020-03-18,143
2020-03-19,68
2020-03-20,87
2020-03-21,150
2020-03-22,188
2020-03-23,130
2020-03-24,219
2020-03-25,74
2020-03-26,122
2020-03-27,182
2020-03-28,133
2020-03-29,134
2020-03-30,153
2020-03-31,114
2020-04-01,50
2020-04-02,83
2020-04-03,102
2020-04-04,160
2020-04-05,216
2020-04-06,261
2020-04-07,220
2020-04-08,59
2020-04-09,176
2020-04-10,139
2020-04-11,138
2020-04-12,197
2020-04-13,236
2020-04-14,118
2020-04-15,81
2020-04-16,112
2020-04-17,131
2020-04-18,69
2020-04-19,132
2020-04-20,212
2020-04-21,169
2020-04-22,136
2020-04-23,125
2020-04-24,112
2020-04-25,145
2020-04-26,171
2020-04-27,226
2020-04-28,137
2020-04-29,114
2020-04-30,177
2020-05-01,97
2020-05-02,120
2020-05-03,188
2020-05-04,139
2020-05-05,166
2020-05-06,126
2020-05-07,163
2020-05-08,149
2020-05-09,230
2020-05-10,198
2020-05-11,138
2020-05-12,88
2020-05-13,114
2020-05-14,152
2020-05-15,135
2020-05-16,93
2020-05-17,185
2020-05-18,138
2020-05-19,110
2020-05-20,107
2020-05-21,119
2020-05-22,70
2020-05-23,78
2020-05-24,128
2020-05-25,165
2020-05-26,101
2020-05-27,113
2020-05-28,80
2020-05-29,97
2020-05-30,90
2020-05-31,227
2020-06-01,143
2020-06-02,30
2020-06-03,230
2020-06-04,76
2020-06-05,114
2020-06-06,191
2020-06-07,215
2020-06-08,152
2020-06-09,230
2020-06-10,120
2020-06-11,146
2020-06-12,181
2020-06-13,251
2020-06-14,122
2020-06-15,234
2020-06-16,152
2020-06-17,141
2020-06-18,148
2020-06-19,43
2020-06-20,143
2020-06-21,123
2020-06-22,126
2020-06-23,141
2020-06-24,173
2020-06-25,187
2020-06-26,127
2020-06-27,162
2020-06-28,215
2020-06-29,105
2020-06-30,53
2020-07-01,149
2020-07-02,97
2020-07-03,95
2020-07-04,113
2020-07-05,230
2020-07-06,339
2020-07-07,243
2020-07-08,135
2020-07-09,181
2020-07-10,140
2020-07-11,124
2020-07-12,331
2020-07-13,119
2020-07-14,164
2020-07-15,127
2020-07-16,139
2020-07-17,127
2020-07-18,84
2020-07-19,128
2020-07-20,206
2020-07-21,229
2020-07-22,257
2020-07-23,172
2020-07-24,121
2020-07-25,107
2020-07-26,158
2020-07-27,181
2020-07-28,167
2020-07-29,144
2020-07-30,177
2020-07-31,129
2020-08-01,144
2020-08-02,101
2020-08-03,188
2020-08-04,238
2020-08-05,141
2020-08-06,158
2020-08-07,83
2020-08-08,149
2020-08-09,129
2020-08-10,176
2020-08-11,166
2020-08-12,129
2020-08-13,131
2020-08-14,76
2020-08-15,227
2020-08-16,154
2020-08-17,211
2020-08-18,133
2020-08-19,126
2020-08-20,95
2020-08-21,131
2020-08-22,264
2020-08-23,155
2020-08-24,187
2020-08-25,146
2020-08-26,165
2020-08-27,160
2020-08-28,136
2020-08-29,84
2020-08-30,139
2020-08-31,183
2020-09-01,219
2020-09-02,103
2020-09-03,174
2020-09-04,125
2020-09-05,83
2020-09-06,220
2020-09-07,157
2020-09-08,114
2020-09-09,145
2020-09-10,153
2020-09-11,97
2020-09-12,172
